파일명	화자	치환	60경기_등장	문장
analyst/an.goal.equalizer.1.mp3	해설위원	숫자	17	네, 이 시점의 동점골은 넣은 쪽에 힘이 확 실립니다.
analyst/an.goal.any.1.mp3	해설위원	숫자	17	이 골 하나로 경기 양상이 또 바뀝니다.
analyst/an.goal.equalizer.2.mp3	해설위원	정적	14	앞서 있던 팀엔 뼈아프죠. 다시 만들어야 합니다.
analyst/flow.dominant.3.mp3	해설위원	팀	14	스페인은 숨 쉴 틈을 안 주고 있습니다.
analyst/an.goal.clincher.1.mp3	해설위원	숫자	13	네, 사실상 여기서 갈렸다고 봅니다.
analyst/an.halftime.2.mp3	해설위원	정적	12	전반에 아낀 체력을 후반 어디에 쓸지 정해야 합니다.
analyst/an.goal.equalizer.0.mp3	해설위원	숫자	11	이건 완전히 새 경기입니다. 따라잡힌 쪽이 흔들리거든요.
analyst/flow.dominant.2.mp3	해설위원	숫자	10	네, 이 흐름이면 한 골은 시간문제로 보입니다.
analyst/an.goal.comeback.1.mp3	해설위원	숫자	9	네, 이 골 하나로 두 팀의 계획이 통째로 바뀝니다.
analyst/flow.endToEnd.2.mp3	해설위원	숫자	8	이거 몇 골이 날지 모르겠는데요.
analyst/an.goal.chase.0.mp3	해설위원	숫자	8	한 골 차가 되면 지키는 쪽이 훨씬 불편해집니다.
analyst/an.goal.chase.1.mp3	해설위원	숫자	8	네, 아직 시간이 있습니다. 다음 십 분이 중요해요.
analyst/an.fulltime.2.mp3	해설위원	숫자	6	제가 보기엔 후반 중반의 십 분이 승부처였습니다.
analyst/flow.lull.6.mp3	해설위원	숫자	6	탐색전이 길어지고 있습니다. 먼저 움직이는 쪽이 위험을 안죠.
analyst/an.goal.comeback.2.mp3	해설위원	팀+숫자	6	스페인, 이제 나올 수밖에 없습니다. 공간이 생기죠.
analyst/an.goal.comeback.0.mp3	해설위원	숫자	3	역전은 다릅니다. 앞섰던 팀 라인이 내려가거든요.
analyst/an.red.0.mp3	해설위원	정적	3	수적 열세는 체력에서 먼저 옵니다.
analyst/flow.lowBlock.2.mp3	해설위원	팀	3	대한민국은 잠그고 역습을 노리는 겁니다. 뚫기가 쉽지 않아요.
analyst/an.goal.consolation.0.mp3	해설위원	정적	3	늦었지만 다음 경기 분위기를 만드는 골입니다.
analyst/flow.lull.5.mp3	해설위원	숫자	3	네, 이럴 때 한 번의 전환이 경기를 가릅니다.
analyst/an.red.2.mp3	해설위원	정적	2	네, 경기 계획을 통째로 다시 짜야 하는 상황입니다.
analyst/an.goal.consolation.1.mp3	해설위원	정적	2	네, 끝까지 포기하지 않은 결과죠.
caster/foul.1.mp3	캐스터	이름+숫자	225	다비드 라야의 반칙으로 흐름이 끊깁니다.
caster/foul.5.mp3	캐스터	이름+숫자	223	마르크 푸빌이 상대를 넘어뜨립니다.
caster/foul.4.mp3	캐스터	팀+숫자	218	전반 20분, 대한민국 진영에서 반칙이 나옵니다.
caster/foul.0.mp3	캐스터	숫자	215	후반 48분, 파울입니다.
caster/foul.2.mp3	캐스터	이름	213	네, 에릭 가르시아는 늦게 들어갔습니다.
caster/foul.3.mp3	캐스터	숫자	202	네, 후반 50분, 주심, 휘슬을 붑니다.
caster/miss.4.mp3	캐스터	숫자	154	후반 84분, 골문 옆으로 흐릅니다.
caster/miss.6.mp3	캐스터	이름	152	손흥민, 조금 높았죠.
caster/miss.2.mp3	캐스터	이름	152	아, 니코 윌리엄스. 마무리가 아쉽습니다.
caster/miss.1.mp3	캐스터	이름	150	김태현의 슛, 골문을 벗어납니다.
caster/miss.3.mp3	캐스터	팀+숫자	149	여기서, 대한민국이 기회를 살리지 못합니다.
caster/miss.0.mp3	캐스터	숫자	145	자, 전반 40분, 빗나갑니다.
caster/streak.saves.1.mp3	캐스터	숫자	143	이번에도 막습니다!
caster/miss.5.mp3	캐스터	이름	142	로드리는 고개를 떨굽니다.
caster/streak.saves.3.mp3	캐스터	이름+숫자	141	다비드 라야, 오늘 두 번째 선방입니다.
caster/streak.saves.2.mp3	캐스터	이름+숫자	138	전반 13분, 연속 선방! 김승규, 벽입니다!
caster/streak.saves.0.mp3	캐스터	숫자	136	네, 후반 75분, 또 막아냅니다!
caster/streak.fouls.1.mp3	캐스터	이름+숫자	132	또 이한범입니다. 반칙이 잦네요.
caster/streak.fouls.0.mp3	캐스터	이름+숫자	124	자, 다비드 라야, 오늘 벌써 세 번째 파울입니다. 카드가 나올 수 있어요.
caster/corner.1.mp3	캐스터	팀	120	아, 대한민국의 코너킥입니다.
caster/corner.2.mp3	캐스터	팀	100	스페인, 코너에 공을 올립니다.
caster/streak.corners.0.mp3	캐스터	숫자	99	전반 21분, 연속 코너킥입니다.
caster/corner.0.mp3	캐스터	숫자	96	전반 7분, 코너킥.
caster/streak.corners.1.mp3	캐스터	숫자	94	아, 전반 32분, 계속 두드립니다. 또 코너킥.
caster/corner.4.mp3	캐스터	팀	93	그런데, 스페인, 세트피스 기회를 잡네요.
caster/corner.3.mp3	캐스터	팀+숫자	82	대한민국이 코너킥을 얻어냅니다.
caster/streak.corners.2.mp3	캐스터	팀+숫자	78	아, 두 번째 코너킥. 대한민국, 완전히 몰아붙이네요.
caster/flow.even.0.mp3	캐스터	숫자	52	중원 싸움이 팽팽합니다.
caster/flow.even.1.mp3	캐스터	정적	52	양 팀 모두 쉽게 내주지 않습니다.
caster/yellow.1.mp3	캐스터	이름+숫자	51	전반 29분, 주심이 이한범에게 경고를 줍니다.
caster/save.5.mp3	캐스터	숫자	45	이걸 막아내네요.
caster/yellow.3.mp3	캐스터	이름+숫자	42	아, 전반 10분, 에릭 가르시아는 경고를 피하지 못합니다.
caster/yellow.2.mp3	캐스터	이름+숫자	41	전반 29분, 경고 하나가 나옵니다. 아이메릭 라포르트입니다.
caster/yellow.0.mp3	캐스터	이름+숫자	36	전반 7분, 에릭 가르시아, 옐로카드.
caster/save.0.mp3	캐스터	숫자	34	아, 후반 84분, 막아냅니다!
caster/save.3.mp3	캐스터	이름	34	김승규가 손끝으로 걷어냅니다!
caster/save.1.mp3	캐스터	이름	31	김승규, 선방!
caster/save.4.mp3	캐스터	팀	29	자, 스페인 골키퍼, 몸을 날립니다!
caster/save.6.mp3	캐스터	이름+숫자	29	후반 67분, 김승규, 골문을 지킵니다.
caster/save.2.mp3	캐스터	이름+숫자	23	다비드 라야의 세이브!
caster/halftime.1.mp3	캐스터	숫자	23	전반 45분, 하프타임을 알리는 휘슬입니다.
caster/fulltime.0.mp3	캐스터	숫자	23	그런데, 후반 90분, 경기 종료!
caster/fulltime.2.mp3	캐스터	숫자	22	후반 90분, 여기서 경기가 끝납니다.
caster/flow.endToEnd.0.mp3	캐스터	숫자	22	정신없이 오갑니다.
caster/goal.extra.1.mp3	캐스터	이름+팀+숫자	20	후반 51분, 스페인, 한 골 더 달아납니다! 다니 올모의 골!
caster/goal.multi.1.mp3	캐스터	이름+숫자	20	후반 72분, 페란 토레스, 또 한 골! 오늘 두 골째입니다!
caster/halftime.2.mp3	캐스터	숫자	20	전반 45분, 전반이 끝났습니다. 스코어는 영 대 일입니다.
caster/flow.dominant.0.mp3	캐스터	팀+숫자	20	스페인이 계속 몰아붙입니다.
caster/goal.multi.0.mp3	캐스터	이름+숫자	18	후반 68분, 멀티골! 오늘 두 번째 골입니다! 조규성!
caster/kickoff.0.mp3	캐스터	정적	17	경기가 시작됩니다.
caster/goal.opener.2.mp3	캐스터	팀+숫자	17	전반 15분, 균형이 깨집니다! 선취점은 대한민국입니다!
caster/halftime.0.mp3	캐스터	숫자	17	전반 45분, 전반 종료.
caster/goal.equalizer.0.mp3	캐스터	이름+숫자	16	전반 17분, 동점골! 원점입니다! 조규성!
caster/fulltime.1.mp3	캐스터	숫자	15	후반 90분, 종료 휘슬. 최종 스코어 이 대 이입니다.
caster/goal.opener.0.mp3	캐스터	이름+숫자	15	전반 5분, 골! 페란 토레스! 귀중한 선제골입니다!
caster/kickoff.1.mp3	캐스터	팀+숫자	15	네, 대한민국의 킥오프, 경기가 열립니다.
caster/goal.opener.3.mp3	캐스터	이름+숫자	14	전반 16분, 골! 이재성이 첫 골을 신고합니다!
caster/goal.opener.1.mp3	캐스터	이름+팀+숫자	13	전반 21분, 로드리! 선제골! 스페인, 먼저 앞서 나갑니다!
caster/flow.dominant.1.mp3	캐스터	팀+숫자	13	스페인은 상대 진영에서만 경기를 하고 있습니다.
caster/flow.endToEnd.1.mp3	캐스터	정적	12	완전히 난타전입니다.
caster/kickoff.4.mp3	캐스터	팀+숫자	11	네, 대한민국이 공을 굴립니다. 시작합니다.
caster/flow.lowBlock.1.mp3	캐스터	숫자	11	열 명이 다 자기 진영에 서 있습니다.
caster/kickoff.2.mp3	캐스터	팀+숫자	10	킥오프! 대한민국 대 스페인, 90분의 승부가 시작됩니다.
caster/goal.equalizer.1.mp3	캐스터	이름+숫자	10	전반 39분, 따라붙습니다! 일 대 일! 니코 윌리엄스의 골!
caster/goal.clincher.2.mp3	캐스터	이름+숫자	10	후반 87분, 페란 토레스의 골. 이걸로 사실상 승부는 결정됐습니다.
caster/flow.lull.2.mp3	캐스터	숫자	8	중원에서 공방이 이어집니다.
caster/goal.extra.0.mp3	캐스터	이름+숫자	8	후반 48분, 추가골! 페란 토레스! 순식간에 두 골입니다.
caster/goal.extra.2.mp3	캐스터	숫자	8	후반 52분, 골! 삼 대 일. 점수가 벌어집니다.
caster/goal.equalizer.3.mp3	캐스터	이름+숫자	8	후반 74분, 페란 토레스! 이거 큽니다. 완전히 새 경기가 됐습니다!
caster/flow.lull.1.mp3	캐스터	정적	7	양 팀 다 숨을 고르고 있습니다.
caster/kickoff.3.mp3	캐스터	정적	7	주심의 휘슬, 경기 시작입니다.
caster/goal.chase.0.mp3	캐스터	이름+숫자	7	전반 39분, 추격골입니다! 아직 끝나지 않았습니다! 이재성!
caster/goal.clincher.0.mp3	캐스터	이름+숫자	6	후반 85분, 쐐기를 박습니다! 마르틴 수비멘디!
caster/flow.lowBlock.0.mp3	캐스터	팀	6	대한민국은 완전히 내려섰습니다.
caster/goal.comeback.3.mp3	캐스터	이름+숫자	5	전반 39분, 골! 역전입니다! 이재성!
caster/goal.chase.1.mp3	캐스터	숫자	5	전반 45분, 한 골 따라붙습니다! 희망이 생깁니다!
caster/goal.clincher.3.mp3	캐스터	팀+숫자	5	후반 81분, 스페인, 쐐기골입니다. 이제 뒤집기는 어려워 보이네요.
caster/goal.clincher.1.mp3	캐스터	숫자	5	후반 60분, 사 대 영. 승부에 쐐기를 박는 골입니다. 순식간에 두 골입니다.
caster/flow.lull.0.mp3	캐스터	정적	5	잠시 소강 상태입니다.
caster/flow.lull.4.mp3	캐스터	정적	4	경기가 다소 잠잠해졌습니다.
caster/goal.hattrick.0.mp3	캐스터	이름+숫자	4	후반 78분, 해트트릭! 예레미 피노, 해트트릭입니다!
caster/goal.restore.2.mp3	캐스터	이름+숫자	4	후반 67분, 균형을 깨는 골입니다! 조규성!
caster/goal.restore.0.mp3	캐스터	이름+숫자	4	전반 30분, 예레미 피노! 다시 앞서 나갑니다!
caster/goal.comeback.2.mp3	캐스터	이름+팀+숫자	4	후반 55분, 끌려가던 스페인, 드디어 앞서 나갑니다! 니코 윌리엄스!
caster/goal.comeback.1.mp3	캐스터	팀+숫자	3	후반 55분, 뒤집었습니다! 스페인이 경기를 뒤집습니다! 또 들어갔습니다. 수비가 흔들리네요.
caster/goal.equalizer.2.mp3	캐스터	이름+숫자	3	후반 53분, 경기를 다시 원점으로 돌립니다! 다니 올모!
caster/goal.chase.2.mp3	캐스터	이름+숫자	3	후반 79분, 일 대 이. 양현준의 골로 간격을 좁힙니다.
caster/red.1.mp3	캐스터	이름+숫자	3	후반 69분, 주심이 니코 윌리엄스를 그라운드 밖으로 내보냅니다.
caster/flow.lull.3.mp3	캐스터	숫자	3	특별한 장면 없이 시간이 흐릅니다.
caster/goal.restore.1.mp3	캐스터	팀+숫자	2	후반 77분, 골! 스페인, 리드를 되찾습니다!
caster/red.2.mp3	캐스터	팀+숫자	2	후반 90분, 퇴장! 대한민국, 수적 열세에 놓입니다.
caster/goal.consolation.2.mp3	캐스터	이름+숫자	2	후반 89분, 영패는 면했습니다. 니코 윌리엄스의 골입니다.
caster/goal.comeback.0.mp3	캐스터	이름+숫자	2	후반 72분, 역전! 역전골입니다! 로드리!
caster/goal.lateDrama.2.mp3	캐스터	이름+숫자	1	후반 90분, 다 끝난 경기를 되돌립니다! 양현준의 극장골!
caster/goal.consolation.1.mp3	캐스터	이름+숫자	1	후반 89분, 조규성, 한 골 만회합니다. 또 들어갔습니다. 수비가 흔들리네요.
caster/goal.consolation.0.mp3	캐스터	숫자	1	후반 82분, 만회골입니다. 조금 늦었지만 의미는 있습니다.
caster/goal.hattrick.1.mp3	캐스터	이름+숫자	1	후반 76분, 해트트릭! 오늘 경기 공은 로드리가 챙겨 갑니다! 연속 실점입니다.
caster/goal.lateDrama.1.mp3	캐스터	이름+숫자	1	후반 90분, 이게 됩니까! 경기 종료 직전, 로드리!
